match_id,team_1,team_2,league,date,winner
ESPORTSTMNT05_2980240,Nongshim RedForce,Dplus KIA,LCK,2022-07-20 13:47:59,Dplus KIA
ESPORTSTMNT05_2980509,Liiv SANDBOX,Gen.G,LCK,2022-07-22 06:38:34,Gen.G
ESPORTSTMNT05_2980526,Liiv SANDBOX,Gen.G,LCK,2022-07-22 08:48:59,Gen.G
ESPORTSTMNT05_2980527,DRX,Dplus KIA,LCK,2022-07-22 09:41:01,DRX
ESPORTSTMNT05_2980537,Dplus KIA,DRX,LCK,2022-07-22 11:35:08,Dplus KIA
ESPORTSTMNT05_2980538,DRX,Dplus KIA,LCK,2022-07-22 12:24:26,DRX
ESPORTSTMNT05_2980556,BRION,T1,LCK,2022-07-23 06:15:48,BRION
ESPORTSTMNT05_2980569,T1,BRION,LCK,2022-07-23 08:41:03,T1
ESPORTSTMNT05_2980571,BRION,T1,LCK,2022-07-23 09:44:41,T1
ESPORTSTMNT05_2980572,KT Rolster,Nongshim RedForce,LCK,2022-07-23 10:44:44,KT Rolster
ESPORTSTMNT05_2980586,Nongshim RedForce,KT Rolster,LCK,2022-07-23 12:20:17,Nongshim RedForce
ESPORTSTMNT05_2980587,KT Rolster,Nongshim RedForce,LCK,2022-07-23 13:18:06,KT Rolster
ESPORTSTMNT05_2990357,T1,Kwangdong Freecs,LCK,2022-07-21 06:43:48,Kwangdong Freecs
ESPORTSTMNT05_2990375,T1,Kwangdong Freecs,LCK,2022-07-21 08:39:36,T1
ESPORTSTMNT05_2990380,T1,Kwangdong Freecs,LCK,2022-07-21 09:35:25,T1
ESPORTSTMNT05_2990388,Hanwha Life Esports,KT Rolster,LCK,2022-07-21 10:37:45,KT Rolster
ESPORTSTMNT05_2990418,Hanwha Life Esports,KT Rolster,LCK,2022-07-21 12:13:46,KT Rolster
ESPORTSTMNT05_2990662,Kwangdong Freecs,Liiv SANDBOX,LCK,2022-07-24 06:41:23,Liiv SANDBOX
ESPORTSTMNT05_2990683,Liiv SANDBOX,Kwangdong Freecs,LCK,2022-07-24 09:09:13,Liiv SANDBOX
ESPORTSTMNT05_2990684,Hanwha Life Esports,Gen.G,LCK,2022-07-24 10:06:48,Gen.G
ESPORTSTMNT05_2990701,Hanwha Life Esports,Gen.G,LCK,2022-07-24 11:42:46,Gen.G
ESPORTSTMNT06_2500014,DRX,Liiv SANDBOX,LCK,2022-06-29 09:39:20,Liiv SANDBOX
ESPORTSTMNT06_2500018,T1,Kwangdong Freecs,LCK,2022-06-29 10:44:47,T1
