match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT03_3120628,KT Rolster,Hanwha Life Esports,LCK,2023-03-08 13:36:18,KT Rolster,2165,KT Rolster,Hanwha Life Esports,Hanwha Life Esports
ESPORTSTMNT03_3121502,Kwangdong Freecs,Nongshim RedForce,LCK,2023-03-08 08:06:24,Kwangdong Freecs,2097,Kwangdong Freecs,Nongshim RedForce,Kwangdong Freecs
ESPORTSTMNT03_3122530,Nongshim RedForce,Kwangdong Freecs,LCK,2023-03-08 09:03:51,Nongshim RedForce,2003,Kwangdong Freecs,Nongshim RedForce,Nongshim RedForce
ESPORTSTMNT03_3122536,Kwangdong Freecs,Nongshim RedForce,LCK,2023-03-08 09:58:31,Kwangdong Freecs,1582,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs
ESPORTSTMNT03_3122584,Hanwha Life Esports,KT Rolster,LCK,2023-03-08 12:37:13,Hanwha Life Esports,2153,KT Rolster,KT Rolster,KT Rolster
ESPORTSTMNT03_3123048,Gen.G,Liiv SANDBOX,LCK,2023-03-09 08:07:52,Gen.G,1593,Gen.G,Gen.G,Gen.G
ESPORTSTMNT03_3123081,Liiv SANDBOX,Gen.G,LCK,2023-03-09 08:57:00,Gen.G,1776,Gen.G,Gen.G,Liiv SANDBOX
ESPORTSTMNT03_3123651,BRION,KT Rolster,LCK,2023-03-10 11:26:14,KT Rolster,1726,KT Rolster,KT Rolster,KT Rolster
ESPORTSTMNT03_3124078,T1,DRX,LCK,2023-03-09 10:37:42,T1,1466,T1,T1,T1
ESPORTSTMNT03_3124535,Dplus KIA,Nongshim RedForce,LCK,2023-03-10 08:07:01,Dplus KIA,1450,Dplus KIA,Dplus KIA,Dplus KIA
ESPORTSTMNT03_3125134,DRX,T1,LCK,2023-03-09 11:24:15,T1,1846,T1,DRX,T1
ESPORTSTMNT03_3125587,Nongshim RedForce,Dplus KIA,LCK,2023-03-10 08:53:16,Dplus KIA,1541,Dplus KIA,Nongshim RedForce,Dplus KIA
ESPORTSTMNT03_3125600,BRION,KT Rolster,LCK,2023-03-10 10:36:32,KT Rolster,1757,KT Rolster,BRION,KT Rolster
ESPORTSTMNT03_3126034,DRX,Liiv SANDBOX,LCK,2023-03-11 07:10:33,Liiv SANDBOX,1616,DRX,Liiv SANDBOX,Liiv SANDBOX
ESPORTSTMNT03_3126091,T1,Hanwha Life Esports,LCK,2023-03-11 10:39:59,T1,2132,T1,Hanwha Life Esports,T1
ESPORTSTMNT03_3127022,Liiv SANDBOX,DRX,LCK,2023-03-11 06:14:39,DRX,1923,DRX,DRX,Liiv SANDBOX
ESPORTSTMNT03_3127306,Dplus KIA,BRION,LCK,2023-03-12 06:05:48,BRION,2278,Dplus KIA,BRION,BRION
ESPORTSTMNT03_3127325,BRION,Dplus KIA,LCK,2023-03-12 07:53:30,Dplus KIA,1829,Dplus KIA,Dplus KIA,Dplus KIA
ESPORTSTMNT03_3127378,Kwangdong Freecs,Gen.G,LCK,2023-03-12 10:30:20,Kwangdong Freecs,2346,Kwangdong Freecs,Gen.G,Kwangdong Freecs
ESPORTSTMNT03_3127386,Gen.G,Kwangdong Freecs,LCK,2023-03-12 11:30:42,Kwangdong Freecs,2567,Gen.G,Gen.G,Gen.G
ESPORTSTMNT03_3128016,DRX,Liiv SANDBOX,LCK,2023-03-11 07:59:19,Liiv SANDBOX,1924,Liiv SANDBOX,Liiv SANDBOX,DRX
ESPORTSTMNT03_3128023,T1,Hanwha Life Esports,LCK,2023-03-11 09:36:55,Hanwha Life Esports,2438,T1,T1,T1
ESPORTSTMNT03_3128073,T1,Hanwha Life Esports,LCK,2023-03-11 11:38:17,T1,1350,T1,T1,T1
ESPORTSTMNT03_3128324,Dplus KIA,BRION,LCK,2023-03-12 07:05:59,Dplus KIA,1573,BRION,Dplus KIA,Dplus KIA
ESPORTSTMNT03_3128333,Gen.G,Kwangdong Freecs,LCK,2023-03-12 09:37:21,Gen.G,1854,Gen.G,Gen.G,Gen.G
ESPORTSTMNT03_3165687,Hanwha Life Esports,KT Rolster,LCK,2023-06-07 09:09:21,Hanwha Life Esports,1771,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports
ESPORTSTMNT03_3165973,DRX,Kwangdong Freecs,LCK,2023-06-08 09:19:42,Kwangdong Freecs,1739,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs
ESPORTSTMNT03_3165974,OKSavingsBank BRION,Nongshim RedForce,LCK,2023-06-08 11:00:48,OKSavingsBank BRION,1925,OKSavingsBank BRION,OKSavingsBank BRION,Nongshim RedForce
ESPORTSTMNT03_3166614,KT Rolster,Hanwha Life Esports,LCK,2023-06-07 10:02:16,KT Rolster,1605,KT Rolster,KT Rolster,KT Rolster
ESPORTSTMNT03_3166620,Dplus KIA,Liiv SANDBOX,LCK,2023-06-07 11:39:10,Dplus KIA,1778,Dplus KIA,Dplus KIA,Dplus KIA
ESPORTSTMNT03_3166917,Nongshim RedForce,OKSavingsBank BRION,LCK,2023-06-08 11:55:19,Nongshim RedForce,2137,Nongshim RedForce,Nongshim RedForce,OKSavingsBank BRION
ESPORTSTMNT03_3166925,OKSavingsBank BRION,Nongshim RedForce,LCK,2023-06-08 12:57:27,Nongshim RedForce,1773,Nongshim RedForce,OKSavingsBank BRION,Nongshim RedForce
ESPORTSTMNT03_3167508,KT Rolster,Hanwha Life Esports,LCK,2023-06-07 08:11:03,KT Rolster,1894,Hanwha Life Esports,Hanwha Life Esports,Hanwha Life Esports
ESPORTSTMNT03_3167593,Liiv SANDBOX,Dplus KIA,LCK,2023-06-07 12:32:29,Dplus KIA,1764,Liiv SANDBOX,Liiv SANDBOX,Liiv SANDBOX
ESPORTSTMNT03_3167810,Kwangdong Freecs,DRX,LCK,2023-06-08 08:13:34,Kwangdong Freecs,2568,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs
ESPORTSTMNT03_3168164,KT Rolster,Gen.G,LCK,2023-06-09 10:24:02,Gen.G,1700,Gen.G,Gen.G,Gen.G
ESPORTSTMNT03_3168168,Hanwha Life Esports,T1,LCK,2023-06-09 11:58:35,Hanwha Life Esports,2647,Hanwha Life Esports,T1,T1
ESPORTSTMNT03_3168300,Nongshim RedForce,Liiv SANDBOX,LCK,2023-06-10 07:08:07,Liiv SANDBOX,1689,Liiv SANDBOX,Nongshim RedForce,Liiv SANDBOX
ESPORTSTMNT03_3168381,Dplus KIA,DRX,LCK,2023-06-11 07:51:43,Dplus KIA,2469,DRX,Dplus KIA,Dplus KIA
