match_id,team_1,team_2,league,date,winner
10356-10356_game_1,Weibo Gaming,Anyone's Legend,LPL,2023-07-09 07:15:07,Weibo Gaming
10356-10356_game_2,Weibo Gaming,Anyone's Legend,LPL,2023-07-09 08:03:24,Weibo Gaming
10357-10357_game_1,EDward Gaming,FunPlus Phoenix,LPL,2023-07-09 09:25:09,FunPlus Phoenix
10357-10357_game_2,FunPlus Phoenix,EDward Gaming,LPL,2023-07-09 10:09:41,EDward Gaming
10357-10357_game_3,EDward Gaming,FunPlus Phoenix,LPL,2023-07-09 11:01:09,EDward Gaming
10358-10358_game_1,Invictus Gaming,JD Gaming,LPL,2023-07-09 11:16:53,JD Gaming
10358-10358_game_2,Invictus Gaming,JD Gaming,LPL,2023-07-09 12:08:21,Invictus Gaming
10358-10358_game_3,JD Gaming,Invictus Gaming,LPL,2023-07-09 12:59:59,Invictus Gaming
10359-10359_game_1,LNG Esports,LGD Gaming,LPL,2023-07-10 09:54:26,LNG Esports
10359-10359_game_2,LGD Gaming,LNG Esports,LPL,2023-07-10 10:47:54,LGD Gaming
10359-10359_game_3,LNG Esports,LGD Gaming,LPL,2023-07-10 11:41:58,LNG Esports
10360-10360_game_1,Ninjas in Pyjamas,Rare Atom,LPL,2023-07-10 11:18:34,Ninjas in Pyjamas
10360-10360_game_2,Rare Atom,Ninjas in Pyjamas,LPL,2023-07-10 12:10:50,Ninjas in Pyjamas
10361-10361_game_1,Ultra Prime,Top Esports,LPL,2023-07-11 07:16:49,Top Esports
10361-10361_game_2,Ultra Prime,Top Esports,LPL,2023-07-11 08:10:19,Top Esports
10362-10362_game_1,Anyone's Legend,Oh My God,LPL,2023-07-17 13:16:52,Oh My God
10362-10362_game_2,Oh My God,Anyone's Legend,LPL,2023-07-17 14:09:38,Oh My God
10363-10363_game_1,Team WE,JD Gaming,LPL,2023-07-11 11:46:11,JD Gaming
10363-10363_game_2,JD Gaming,Team WE,LPL,2023-07-11 12:38:55,JD Gaming
