match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT06_2769916,G2 Esports,KOI,LEC,2023-02-05 21:23:55,G2 Esports,1634,G2 Esports,0
ESPORTSTMNT06_2769929,Team BDS,Team Heretics,LEC,2023-02-06 17:08:08,Team BDS,2273,Team Heretics,0
ESPORTSTMNT06_2773449,Team Vitality,MAD Lions KOI,LEC,2023-03-11 19:13:48,Team Vitality,1684,Team Vitality,0
ESPORTSTMNT06_2773457,Astralis,KOI,LEC,2023-03-11 20:08:28,Astralis,1702,Astralis,0
ESPORTSTMNT06_2773526,Excel Esports,Team Vitality,LEC,2023-03-12 18:50:08,Team Vitality,1853,Team Vitality,0
ESPORTSTMNT06_2773569,SK Gaming,Astralis,LEC,2023-03-13 17:08:09,SK Gaming,1454,SK Gaming,0
ESPORTSTMNT06_2773618,G2 Esports,Excel Esports,LEC,2023-03-13 19:58:39,G2 Esports,1527,G2 Esports,0
ESPORTSTMNT06_2773628,Fnatic,Team Vitality,LEC,2023-03-13 20:49:59,Team Vitality,1408,Team Vitality,1
ESPORTSTMNT06_2773874,KOI,G2 Esports,LEC,2023-03-18 21:05:30,KOI,1866,G2 Esports,0
ESPORTSTMNT06_2773941,Excel Esports,SK Gaming,LEC,2023-03-20 17:08:06,SK Gaming,1838,SK Gaming,1
ESPORTSTMNT06_2773955,MAD Lions KOI,Team Heretics,LEC,2023-03-20 18:06:23,Team Heretics,2188,MAD Lions KOI,1
ESPORTSTMNT06_2773965,Team BDS,G2 Esports,LEC,2023-03-20 20:10:05,G2 Esports,2069,Team BDS,1
ESPORTSTMNT06_2773972,Fnatic,KOI,LEC,2023-03-20 21:12:16,Fnatic,1909,KOI,0
ESPORTSTMNT06_2774534,SK Gaming,Fnatic,LEC,2023-03-12 19:50:28,SK Gaming,1908,SK Gaming,0
ESPORTSTMNT06_2774603,Team Heretics,Team BDS,LEC,2023-03-13 18:00:27,Team BDS,1889,Team BDS,1
ESPORTSTMNT06_2774623,MAD Lions KOI,KOI,LEC,2023-03-13 18:57:01,MAD Lions KOI,1811,MAD Lions KOI,0
ESPORTSTMNT06_2774857,Astralis,MAD Lions KOI,LEC,2023-03-18 17:08:23,MAD Lions KOI,1703,Astralis,1
ESPORTSTMNT06_2774880,Fnatic,Team BDS,LEC,2023-03-18 18:58:13,Team BDS,2042,Fnatic,1
ESPORTSTMNT06_2774885,Team Vitality,SK Gaming,LEC,2023-03-18 20:05:53,Team Vitality,1857,Team Vitality,0
ESPORTSTMNT06_2774912,Team BDS,Astralis,LEC,2023-03-19 17:06:44,Team BDS,2066,Team BDS,0
ESPORTSTMNT06_2774934,Team Heretics,Fnatic,LEC,2023-03-19 19:11:06,Fnatic,2438,Team Heretics,1
ESPORTSTMNT06_2775428,Excel Esports,Fnatic,LEC,2023-03-11 17:08:51,Excel Esports,1811,Fnatic,0
ESPORTSTMNT06_2775434,Team BDS,SK Gaming,LEC,2023-03-11 18:11:54,SK Gaming,2157,Team BDS,1
