match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT04_2667175,Astralis,MAD Lions KOI,LEC,2023-02-19 19:53:42,MAD Lions KOI,1511,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2667200,G2 Esports,KOI,LEC,2023-02-20 17:10:54,G2 Esports,1730,G2 Esports,KOI,G2 Esports
ESPORTSTMNT04_2667209,KOI,G2 Esports,LEC,2023-02-20 18:04:19,G2 Esports,1404,G2 Esports,KOI,G2 Esports
ESPORTSTMNT04_2667226,MAD Lions KOI,SK Gaming,LEC,2023-02-24 17:12:32,MAD Lions KOI,1932,MAD Lions KOI,SK Gaming,MAD Lions KOI
ESPORTSTMNT04_2667238,MAD Lions KOI,SK Gaming,LEC,2023-02-24 19:03:58,MAD Lions KOI,1472,MAD Lions KOI,SK Gaming,MAD Lions KOI
ESPORTSTMNT04_2667240,SK Gaming,MAD Lions KOI,LEC,2023-02-24 19:54:04,SK Gaming,2009,SK Gaming,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2667243,MAD Lions KOI,SK Gaming,LEC,2023-02-24 20:59:01,MAD Lions KOI,1692,MAD Lions KOI,SK Gaming,MAD Lions KOI
ESPORTSTMNT04_2667287,MAD Lions KOI,G2 Esports,LEC,2023-02-26 18:03:51,G2 Esports,1662,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT04_2668106,SK Gaming,Team Heretics,LEC,2023-02-18 17:03:12,SK Gaming,1763,SK Gaming,Team Heretics,SK Gaming
ESPORTSTMNT04_2668132,Team Vitality,SK Gaming,LEC,2023-02-19 17:08:21,SK Gaming,2386,Team Vitality,SK Gaming,Team Vitality
ESPORTSTMNT04_2668137,Team Vitality,SK Gaming,LEC,2023-02-19 18:10:29,SK Gaming,1441,SK Gaming,SK Gaming,SK Gaming
ESPORTSTMNT04_2668184,G2 Esports,KOI,LEC,2023-02-20 19:40:11,G2 Esports,2337,KOI,G2 Esports,KOI
ESPORTSTMNT04_2668240,KOI,MAD Lions KOI,LEC,2023-02-25 19:54:00,MAD Lions KOI,1756,MAD Lions KOI,MAD Lions KOI,KOI
ESPORTSTMNT04_2668245,G2 Esports,MAD Lions KOI,LEC,2023-02-26 17:14:27,G2 Esports,1514,MAD Lions KOI,G2 Esports,G2 Esports
ESPORTSTMNT04_2683466,Team Vitality,MAD Lions KOI,LEC,2023-06-17 16:11:57,MAD Lions KOI,1796,MAD Lions KOI,Team Vitality,MAD Lions KOI
ESPORTSTMNT04_2683600,Astralis,Team Heretics,LEC,2023-06-18 20:04:37,Team Heretics,1783,Astralis,Team Heretics,Team Heretics
ESPORTSTMNT04_2684543,Team Vitality,SK Gaming,LEC,2023-06-18 16:07:22,Team Vitality,1854,Team Vitality,Team Vitality,Team Vitality
ESPORTSTMNT04_2684566,MAD Lions KOI,G2 Esports,LEC,2023-06-18 18:03:46,MAD Lions KOI,2409,G2 Esports,G2 Esports,MAD Lions KOI
ESPORTSTMNT04_2684610,Team BDS,Astralis,LEC,2023-06-19 17:11:39,Astralis,1537,Astralis,Astralis,Astralis
ESPORTSTMNT04_2684636,G2 Esports,Fnatic,LEC,2023-06-19 19:18:04,G2 Esports,1886,G2 Esports,G2 Esports,Fnatic
ESPORTSTMNT04_2684645,Team Heretics,Team Vitality,LEC,2023-06-19 20:17:22,Team Heretics,1982,Team Vitality,Team Heretics,Team Vitality
ESPORTSTMNT04_2685458,SK Gaming,Team Heretics,LEC,2023-06-17 17:12:13,Team Heretics,2262,Team Heretics,Team Heretics,Team Heretics
ESPORTSTMNT04_2685469,KOI,Excel Esports,LEC,2023-06-17 18:18:50,KOI,2118,KOI,KOI,Excel Esports
ESPORTSTMNT04_2685487,G2 Esports,Team BDS,LEC,2023-06-17 19:29:35,G2 Esports,1907,G2 Esports,Team BDS,Team BDS
ESPORTSTMNT04_2685496,Fnatic,Astralis,LEC,2023-06-17 20:27:15,Fnatic,1553,Fnatic,Fnatic,Fnatic
ESPORTSTMNT04_2685544,Fnatic,Excel Esports,LEC,2023-06-18 17:02:45,Fnatic,1977,Excel Esports,Fnatic,Excel Esports
ESPORTSTMNT04_2685564,Team BDS,KOI,LEC,2023-06-18 19:08:48,Team BDS,1777,Team BDS,KOI,Team BDS
ESPORTSTMNT04_2685587,Excel Esports,SK Gaming,LEC,2023-06-19 16:08:16,SK Gaming,2241,SK Gaming,SK Gaming,SK Gaming
ESPORTSTMNT04_2685607,MAD Lions KOI,KOI,LEC,2023-06-19 18:02:10,MAD Lions KOI,2419,KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2686073,Team Vitality,G2 Esports,LEC,2023-06-24 18:50:44,G2 Esports,1567,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT04_2686175,G2 Esports,Astralis,LEC,2023-06-26 18:14:01,G2 Esports,1662,G2 Esports,Astralis,Astralis
ESPORTSTMNT04_2686529,MAD Lions KOI,Team Heretics,LEC,2023-07-01 20:11:33,Team Heretics,1624,Team Heretics,Team Heretics,Team Heretics
ESPORTSTMNT04_2686559,G2 Esports,KOI,LEC,2023-07-02 17:00:49,G2 Esports,1704,G2 Esports,KOI,KOI
ESPORTSTMNT04_2686566,Team Heretics,Fnatic,LEC,2023-07-02 17:56:28,Fnatic,2016,Fnatic,Fnatic,Team Heretics
ESPORTSTMNT04_2686611,SK Gaming,Fnatic,LEC,2023-07-03 20:31:24,SK Gaming,1863,SK Gaming,SK Gaming,SK Gaming
ESPORTSTMNT04_2687063,Excel Esports,Team Heretics,LEC,2023-06-24 16:58:27,Excel Esports,1807,Excel Esports,Team Heretics,Team Heretics
ESPORTSTMNT04_2687112,Astralis,Team Vitality,LEC,2023-06-25 17:18:04,Astralis,2069,Astralis,Team Vitality,Astralis
ESPORTSTMNT04_2687123,Team Heretics,KOI,LEC,2023-06-25 18:20:45,KOI,2269,Team Heretics,KOI,KOI
ESPORTSTMNT04_2687131,MAD Lions KOI,Fnatic,LEC,2023-06-25 20:24:34,Fnatic,1703,MAD Lions KOI,Fnatic,MAD Lions KOI
ESPORTSTMNT04_2687160,MAD Lions KOI,Excel Esports,LEC,2023-06-26 17:06:10,Excel Esports,2309,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT04_2687183,KOI,SK Gaming,LEC,2023-06-26 19:07:35,SK Gaming,2115,KOI,SK Gaming,KOI
ESPORTSTMNT04_2687192,Fnatic,Team Vitality,LEC,2023-06-26 20:12:17,Fnatic,1929,Fnatic,Fnatic,Team Vitality
ESPORTSTMNT04_2687512,Team Vitality,KOI,LEC,2023-07-01 17:10:27,KOI,1962,KOI,Team Vitality,KOI
ESPORTSTMNT04_2687518,Excel Esports,G2 Esports,LEC,2023-07-01 18:09:48,G2 Esports,1705,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT04_2687523,Fnatic,Team BDS,LEC,2023-07-01 19:02:39,Fnatic,2576,Team BDS,Fnatic,Team BDS
ESPORTSTMNT04_2687570,Team BDS,Team Vitality,LEC,2023-07-02 18:56:40,Team BDS,2036,Team Vitality,Team Vitality,Team Vitality
ESPORTSTMNT04_2687575,SK Gaming,MAD Lions KOI,LEC,2023-07-02 19:56:12,SK Gaming,1808,SK Gaming,SK Gaming,MAD Lions KOI
ESPORTSTMNT04_2687585,Team Vitality,Excel Esports,LEC,2023-07-03 16:07:15,Excel Esports,1705,Excel Esports,Excel Esports,Team Vitality
ESPORTSTMNT04_2687596,Team BDS,MAD Lions KOI,LEC,2023-07-03 17:00:41,Team BDS,1762,MAD Lions KOI,Team BDS,Team BDS
ESPORTSTMNT04_2688038,SK Gaming,Team BDS,LEC,2023-06-24 16:07:01,Team BDS,1585,Team BDS,Team BDS,Team BDS
ESPORTSTMNT04_2688068,KOI,Fnatic,LEC,2023-06-24 17:54:31,Fnatic,1769,Fnatic,KOI,Fnatic
ESPORTSTMNT04_2688085,Astralis,MAD Lions KOI,LEC,2023-06-24 19:44:11,MAD Lions KOI,1610,MAD Lions KOI,Astralis,MAD Lions KOI
ESPORTSTMNT04_2688106,Excel Esports,Team BDS,LEC,2023-06-25 16:07:21,Excel Esports,2290,Excel Esports,Team BDS,Excel Esports
ESPORTSTMNT04_2688138,G2 Esports,SK Gaming,LEC,2023-06-25 19:24:11,G2 Esports,2015,G2 Esports,SK Gaming,G2 Esports
ESPORTSTMNT04_2688165,Team BDS,Team Heretics,LEC,2023-06-26 16:07:16,Team Heretics,1960,Team Heretics,Team Heretics,Team Heretics
ESPORTSTMNT04_2688524,Astralis,SK Gaming,LEC,2023-07-01 16:10:28,Astralis,2059,Astralis,SK Gaming,SK Gaming
ESPORTSTMNT04_2688552,Excel Esports,Astralis,LEC,2023-07-02 16:06:17,Excel Esports,1804,Astralis,Astralis,Astralis
ESPORTSTMNT04_2688612,KOI,Astralis,LEC,2023-07-03 17:53:27,KOI,1714,KOI,KOI,Astralis
