match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT01_3367798,FURIA,paiN Gaming,CBLOL,2023-06-11 19:11:28,FURIA,2026,FURIA,FURIA,paiN Gaming
ESPORTSTMNT01_3368322,paiN Gaming,LOUD,CBLOL,2023-06-10 16:32:32,paiN Gaming,1925,LOUD,paiN Gaming,LOUD
ESPORTSTMNT01_3368381,KaBuM! Esports,Los Grandes,CBLOL,2023-06-10 18:46:29,Los Grandes,2058,KaBuM! Esports,KaBuM! Esports,Los Grandes
ESPORTSTMNT01_3368401,Fluxo,Vivo Keyd Stars,CBLOL,2023-06-10 19:50:33,Vivo Keyd Stars,2058,Vivo Keyd Stars,Vivo Keyd Stars,Vivo Keyd Stars
ESPORTSTMNT01_3375984,Vivo Keyd Stars,INTZ,CBLOL,2023-06-17 16:20:10,INTZ,1688,INTZ,INTZ,INTZ
ESPORTSTMNT01_3376991,LOUD,RED Canids,CBLOL,2023-06-17 17:17:36,RED Canids,2094,LOUD,RED Canids,RED Canids
ESPORTSTMNT01_3379552,paiN Gaming,Vivo Keyd Stars,CBLOL,2023-06-18 17:24:40,paiN Gaming,1552,paiN Gaming,Vivo Keyd Stars,paiN Gaming
ESPORTSTMNT01_3380024,KaBuM! Esports,Liberty,CBLOL,2023-06-17 18:17:49,Liberty,1673,Liberty,Liberty,Liberty
ESPORTSTMNT01_3380053,paiN Gaming,Los Grandes,CBLOL,2023-06-17 19:12:32,paiN Gaming,1746,paiN Gaming,Los Grandes,Los Grandes
ESPORTSTMNT01_3380083,Fluxo,FURIA,CBLOL,2023-06-17 20:09:39,FURIA,1997,Fluxo,FURIA,Fluxo
ESPORTSTMNT01_3380451,INTZ,KaBuM! Esports,CBLOL,2023-06-18 16:17:38,INTZ,2321,INTZ,INTZ,INTZ
ESPORTSTMNT01_3380510,RED Canids,Fluxo,CBLOL,2023-06-18 18:15:07,Fluxo,1646,RED Canids,Fluxo,Fluxo
ESPORTSTMNT01_3380533,Los Grandes,FURIA,CBLOL,2023-06-18 19:11:22,FURIA,2322,Los Grandes,Los Grandes,FURIA
ESPORTSTMNT01_3381541,Liberty,LOUD,CBLOL,2023-06-18 20:14:19,LOUD,1909,Liberty,Liberty,LOUD
ESPORTSTMNT01_3401931,paiN Gaming,INTZ,CBLOL,2023-07-29 19:24:23,INTZ,2183,INTZ,INTZ,paiN Gaming
ESPORTSTMNT01_3402856,LOUD,Vivo Keyd Stars,CBLOL,2023-07-29 18:23:28,LOUD,1722,LOUD,Vivo Keyd Stars,LOUD
ESPORTSTMNT01_3403796,RED Canids,Liberty,CBLOL,2023-07-29 16:29:13,RED Canids,1669,RED Canids,Liberty,RED Canids
ESPORTSTMNT01_3403830,Los Grandes,Fluxo,CBLOL,2023-07-29 17:22:42,Los Grandes,2050,Fluxo,Fluxo,Fluxo
ESPORTSTMNT01_3403885,FURIA,KaBuM! Esports,CBLOL,2023-07-29 20:24:03,FURIA,2189,KaBuM! Esports,FURIA,FURIA
ESPORTSTMNT01_3404170,Los Grandes,INTZ,CBLOL,2023-07-30 16:24:40,INTZ,1352,INTZ,INTZ,INTZ
ESPORTSTMNT01_3404199,KaBuM! Esports,RED Canids,CBLOL,2023-07-30 17:14:22,RED Canids,2347,KaBuM! Esports,KaBuM! Esports,KaBuM! Esports
ESPORTSTMNT01_3404220,Vivo Keyd Stars,Liberty,CBLOL,2023-07-30 18:19:06,Vivo Keyd Stars,1421,Vivo Keyd Stars,Liberty,Vivo Keyd Stars
ESPORTSTMNT01_3405200,LOUD,FURIA,CBLOL,2023-07-30 19:08:23,LOUD,1684,LOUD,LOUD,FURIA
ESPORTSTMNT01_3406177,Fluxo,paiN Gaming,CBLOL,2023-07-30 20:05:22,paiN Gaming,2604,paiN Gaming,paiN Gaming,paiN Gaming
ESPORTSTMNT01_3407963,RED Canids,Los Grandes,CBLOL,2023-08-05 18:48:51,RED Canids,2033,RED Canids,Los Grandes,RED Canids
ESPORTSTMNT01_3408848,FURIA,Vivo Keyd Stars,CBLOL,2023-08-05 16:17:08,FURIA,1194,FURIA,FURIA,Vivo Keyd Stars
ESPORTSTMNT01_3409825,paiN Gaming,Liberty,CBLOL,2023-08-05 17:04:09,paiN Gaming,1561,paiN Gaming,Liberty,Liberty
ESPORTSTMNT01_3409844,INTZ,LOUD,CBLOL,2023-08-05 17:54:19,LOUD,1591,LOUD,LOUD,LOUD
ESPORTSTMNT01_3409876,Fluxo,KaBuM! Esports,CBLOL,2023-08-05 19:46:15,Fluxo,1934,Fluxo,Fluxo,KaBuM! Esports
