match_id,team_1,team_2,league,date,winner
ESPORTSTMNT02_2552773,paiN Gaming,FURIA,CBLOL,2022-01-30 19:01:49,FURIA
ESPORTSTMNT02_2552817,INTZ,Flamengo Esports,CBLOL,2022-01-30 20:01:23,INTZ
ESPORTSTMNT02_2556220,KaBuM! Esports,LOUD,CBLOL,2022-02-06 15:44:23,KaBuM! Esports
ESPORTSTMNT02_2556267,RED Canids,FURIA,CBLOL,2022-02-06 16:51:15,FURIA
ESPORTSTMNT02_2556322,paiN Gaming,INTZ,CBLOL,2022-02-06 17:48:47,INTZ
ESPORTSTMNT02_2556364,Liberty,Miners,CBLOL,2022-02-06 18:51:38,Liberty
ESPORTSTMNT02_2558340,FURIA,Rensga eSports,CBLOL,2022-02-10 19:44:57,FURIA
ESPORTSTMNT02_2558353,Rensga eSports,Flamengo Esports,CBLOL,2022-02-10 20:48:49,Flamengo Esports
ESPORTSTMNT02_2575812,Miners,RED Canids,CBLOL,2022-02-05 15:45:07,RED Canids
ESPORTSTMNT02_2575865,LOUD,INTZ,CBLOL,2022-02-05 16:59:05,LOUD
ESPORTSTMNT02_2575902,KaBuM! Esports,Liberty,CBLOL,2022-02-05 17:57:56,KaBuM! Esports
ESPORTSTMNT02_2575922,Flamengo Esports,paiN Gaming,CBLOL,2022-02-05 18:57:24,paiN Gaming
ESPORTSTMNT02_2660083,Miners,Liberty,CBLOL,2022-03-12 15:42:32,Miners
ESPORTSTMNT02_2660115,Flamengo Esports,Rensga eSports,CBLOL,2022-03-12 17:05:05,Rensga eSports
ESPORTSTMNT02_2660149,LOUD,KaBuM! Esports,CBLOL,2022-03-12 18:16:50,KaBuM! Esports
ESPORTSTMNT02_2660180,FURIA,RED Canids,CBLOL,2022-03-12 19:30:15,FURIA
ESPORTSTMNT02_2660207,INTZ,paiN Gaming,CBLOL,2022-03-12 20:41:43,paiN Gaming
ESPORTSTMNT02_2660440,KaBuM! Esports,Miners,CBLOL,2022-03-13 15:45:01,Miners
ESPORTSTMNT02_2660501,Rensga eSports,INTZ,CBLOL,2022-03-13 17:01:13,Rensga eSports
ESPORTSTMNT02_2660536,RED Canids,Flamengo Esports,CBLOL,2022-03-13 17:58:30,Flamengo Esports
ESPORTSTMNT02_2660574,paiN Gaming,LOUD,CBLOL,2022-03-13 18:44:29,paiN Gaming
ESPORTSTMNT02_2660639,Liberty,FURIA,CBLOL,2022-03-13 20:13:00,Liberty
ESPORTSTMNT02_2778045,paiN Gaming,RED Canids,CBLOL,2022-06-11 15:46:13,RED Canids
ESPORTSTMNT02_2778108,INTZ,Rensga eSports,CBLOL,2022-06-11 17:35:55,INTZ
ESPORTSTMNT02_2778137,Liberty,Miners,CBLOL,2022-06-11 18:16:05,Liberty
ESPORTSTMNT02_2778177,FURIA,KaBuM! Esports,CBLOL,2022-06-11 19:20:30,FURIA
ESPORTSTMNT02_2778214,Los Grandes,LOUD,CBLOL,2022-06-11 20:22:21,LOUD
ESPORTSTMNT02_2788841,FURIA,Liberty,CBLOL,2022-06-12 15:44:40,FURIA
ESPORTSTMNT02_2788976,KaBuM! Esports,Los Grandes,CBLOL,2022-06-12 17:24:32,KaBuM! Esports
ESPORTSTMNT02_2789001,Miners,INTZ,CBLOL,2022-06-12 18:03:47,Miners
ESPORTSTMNT02_2789075,LOUD,paiN Gaming,CBLOL,2022-06-12 19:08:20,paiN Gaming
ESPORTSTMNT02_2789167,Rensga eSports,RED Canids,CBLOL,2022-06-12 20:20:14,RED Canids
ESPORTSTMNT02_3151911,INTZ,Vivo Keyd Stars,CBLOL,2023-02-18 19:35:25,Vivo Keyd Stars
ESPORTSTMNT02_3151939,Liberty,LOUD,CBLOL,2023-02-18 20:35:31,LOUD
ESPORTSTMNT02_3153825,FURIA,Los Grandes,CBLOL,2023-02-18 16:18:43,Los Grandes
ESPORTSTMNT02_3153877,RED Canids,Fluxo,CBLOL,2023-02-18 17:32:35,Fluxo
ESPORTSTMNT02_3153897,KaBuM! Esports,paiN Gaming,CBLOL,2023-02-18 18:30:54,paiN Gaming
ESPORTSTMNT02_3154270,Fluxo,Los Grandes,CBLOL,2023-02-19 17:12:57,Fluxo
ESPORTSTMNT02_3154297,FURIA,Vivo Keyd Stars,CBLOL,2023-02-19 18:10:37,FURIA
ESPORTSTMNT02_3154330,paiN Gaming,LOUD,CBLOL,2023-02-19 19:18:05,paiN Gaming
ESPORTSTMNT02_3154355,KaBuM! Esports,Liberty,CBLOL,2023-02-19 20:14:53,Liberty
ESPORTSTMNT02_3155254,INTZ,RED Canids,CBLOL,2023-02-19 16:18:03,INTZ
ESPORTSTMNT02_3163681,LOUD,KaBuM! Esports,CBLOL,2023-02-25 17:28:15,LOUD
ESPORTSTMNT02_3163733,INTZ,FURIA,CBLOL,2023-02-25 20:47:45,FURIA
ESPORTSTMNT02_3164616,Vivo Keyd Stars,paiN Gaming,CBLOL,2023-02-25 16:20:36,paiN Gaming
ESPORTSTMNT02_3164695,Liberty,Fluxo,CBLOL,2023-02-25 19:41:38,Fluxo
ESPORTSTMNT02_3165582,RED Canids,Los Grandes,CBLOL,2023-02-25 18:40:14,Los Grandes
ESPORTSTMNT02_3165985,Liberty,FURIA,CBLOL,2023-02-26 17:26:53,FURIA
ESPORTSTMNT02_3166049,Fluxo,LOUD,CBLOL,2023-02-26 16:19:29,Fluxo
ESPORTSTMNT02_3167106,RED Canids,paiN Gaming,CBLOL,2023-02-26 18:25:48,RED Canids
ESPORTSTMNT02_3168031,Los Grandes,Vivo Keyd Stars,CBLOL,2023-02-26 19:39:40,Vivo Keyd Stars
ESPORTSTMNT02_3168056,KaBuM! Esports,INTZ,CBLOL,2023-02-26 20:38:03,INTZ
ESPORTSTMNT02_3210268,Fluxo,Liberty,CBLOL,2023-06-24 18:26:02,Fluxo
ESPORTSTMNT02_3210287,Los Grandes,Vivo Keyd Stars,CBLOL,2023-06-24 19:33:27,Vivo Keyd Stars
ESPORTSTMNT02_3210486,Liberty,RED Canids,CBLOL,2023-06-25 19:21:07,RED Canids
ESPORTSTMNT02_3211401,KaBuM! Esports,FURIA,CBLOL,2023-06-25 17:24:13,FURIA
ESPORTSTMNT02_3211413,Vivo Keyd Stars,LOUD,CBLOL,2023-06-25 18:23:16,LOUD
ESPORTSTMNT02_3212182,RED Canids,paiN Gaming,CBLOL,2023-06-24 16:22:25,RED Canids
ESPORTSTMNT02_3212196,FURIA,INTZ,CBLOL,2023-06-24 17:29:28,INTZ
ESPORTSTMNT02_3212243,LOUD,KaBuM! Esports,CBLOL,2023-06-24 20:23:50,LOUD
ESPORTSTMNT02_3212389,Fluxo,Los Grandes,CBLOL,2023-06-25 16:20:36,Fluxo
ESPORTSTMNT02_3212436,INTZ,paiN Gaming,CBLOL,2023-06-25 20:33:44,paiN Gaming
ESPORTSTMNT02_3216873,KaBuM! Esports,Fluxo,CBLOL,2023-07-02 19:09:46,Fluxo
ESPORTSTMNT02_3217150,INTZ,Los Grandes,CBLOL,2023-07-01 17:19:29,INTZ
