match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT01_3311377,Evil Geniuses,Cloud9,LCS,2023-02-10 23:59:48,Evil Geniuses,2330,Evil Geniuses,0
ESPORTSTMNT01_3311408,Dignitas,Team Liquid,LCS,2023-02-11 01:03:35,Team Liquid,1450,Team Liquid,1
ESPORTSTMNT01_3324554,Counter Logic Gaming,Team Liquid,LCS,2023-03-16 23:07:11,Counter Logic Gaming,2469,Counter Logic Gaming,0
ESPORTSTMNT01_3324855,Dignitas,Golden Guardians,LCS,2023-03-18 00:15:04,Dignitas,2423,Dignitas,1
ESPORTSTMNT01_3324865,100 Thieves,Immortals,LCS,2023-03-18 01:18:42,100 Thieves,1816,100 Thieves,0
ESPORTSTMNT01_3324874,FlyQuest,Cloud9,LCS,2023-03-18 02:12:46,Cloud9,1765,FlyQuest,0
ESPORTSTMNT01_3324890,Counter Logic Gaming,100 Thieves,LCS,2023-03-18 04:18:13,100 Thieves,2580,Counter Logic Gaming,1
ESPORTSTMNT01_3325173,Cloud9,FlyQuest,LCS,2023-03-15 21:07:53,Cloud9,1595,Cloud9,0
ESPORTSTMNT01_3325205,Golden Guardians,Counter Logic Gaming,LCS,2023-03-15 21:57:47,Counter Logic Gaming,2355,Golden Guardians,1
ESPORTSTMNT01_3325223,100 Thieves,TSM,LCS,2023-03-15 23:02:22,100 Thieves,2819,100 Thieves,0
ESPORTSTMNT01_3325480,TSM,Dignitas,LCS,2023-03-16 22:13:22,TSM,1767,Dignitas,0
ESPORTSTMNT01_3325518,Cloud9,Immortals,LCS,2023-03-17 00:09:54,Cloud9,1630,Cloud9,0
ESPORTSTMNT01_3325730,Counter Logic Gaming,Cloud9,LCS,2023-03-17 21:07:25,Counter Logic Gaming,2271,Cloud9,0
ESPORTSTMNT01_3325749,FlyQuest,TSM,LCS,2023-03-17 22:08:43,FlyQuest,1830,FlyQuest,0
ESPORTSTMNT01_3325814,Evil Geniuses,100 Thieves,LCS,2023-03-18 03:06:32,100 Thieves,2431,100 Thieves,0
ESPORTSTMNT01_3326234,Evil Geniuses,Immortals,LCS,2023-03-16 00:12:42,Immortals,1670,Immortals,1
ESPORTSTMNT01_3326246,Team Liquid,Dignitas,LCS,2023-03-16 01:04:16,Team Liquid,1897,Team Liquid,0
ESPORTSTMNT01_3326454,100 Thieves,Evil Geniuses,LCS,2023-03-16 21:08:00,100 Thieves,2489,Evil Geniuses,0
ESPORTSTMNT01_3326540,FlyQuest,Golden Guardians,LCS,2023-03-17 00:59:30,FlyQuest,1667,FlyQuest,0
ESPORTSTMNT01_3326772,Evil Geniuses,Team Liquid,LCS,2023-03-17 23:09:10,Team Liquid,2529,Team Liquid,0
ESPORTSTMNT01_3330530,100 Thieves,FlyQuest,LCS,2023-03-23 23:04:29,FlyQuest,1847,FlyQuest,1
ESPORTSTMNT01_3330766,Cloud9,Counter Logic Gaming,LCS,2023-03-24 21:09:05,Cloud9,2302,Cloud9,1
ESPORTSTMNT01_3331467,FlyQuest,100 Thieves,LCS,2023-03-23 21:10:53,FlyQuest,1842,FlyQuest,0
ESPORTSTMNT01_3331486,FlyQuest,100 Thieves,LCS,2023-03-23 22:02:56,FlyQuest,2242,100 Thieves,1
ESPORTSTMNT01_3331967,100 Thieves,Golden Guardians,LCS,2023-03-25 21:07:11,100 Thieves,1997,100 Thieves,0
ESPORTSTMNT01_3332769,Counter Logic Gaming,Cloud9,LCS,2023-03-24 22:11:30,Counter Logic Gaming,2078,Counter Logic Gaming,2
ESPORTSTMNT01_3332778,Cloud9,Counter Logic Gaming,LCS,2023-03-24 23:07:31,Cloud9,1707,Counter Logic Gaming,0
